Strain Category,Z1,Z2.5,PGV1,Magnitude,Depth2,Rrup1,Vs10,Vs30,Vs50,Vs100,VsMean,VsMin,VsMax,VsZhole,EQcategory1,boreholeDepth,PGA (g),kappa surface
1,60,1220,0.00028948,5.8,53,119.35,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.064971219,0.052101
1,60,1220,0.000045173,4.9,50,120.405,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.010771262,0.052085
1,60,1220,0.000037001,4.3,47,119.51,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.012198865,0.061328
1,60,1220,0.00020821,5.7,44,133.32,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.028047294,0.061051
1,60,1220,0.00009068,4.9,47,137.11,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.021132599,0.059682
1,60,1220,0.000029269,4,56,113.705,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.01520091,0.055688
1,60,1220,0.00010321,4.3,5,61.045,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,2,312,0.02181173,0.051968
1,60,1220,0.000087821,4.8,32,142.6,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.025783524,0.080778
1,60,1220,0.00021144,6.1,41,138.24,144.0633245,238.3018119,329.2402149,492.7393552,800.0955769,80,1210,1210,3,312,0.051605798,0.065045
1,173.9309048,2240,0.00033315,5.5,59,84.655,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.02878149,0.058121
1,173.9309048,2240,0.00048747,6.4,50,115.05,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.033628201,0.062153
1,173.9309048,2240,0.000087278,5.4,56,136.085,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.009295733,0.060281
1,173.9309048,2240,0.000049143,4.3,65,104.46,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.007857933,0.061258
1,173.9309048,2240,0.00003467,4.3,77,134.145,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.008195459,0.055812
1,173.9309048,2240,0.00015814,5.6,56,131.1,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.018053056,0.057799
1,173.9309048,2240,0.000070184,4.9,53,147.395,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.009129519,0.060151
1,173.9309048,2240,0.000057829,4.9,53,138.745,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.008669627,0.060359
1,173.9309048,2240,0.000085423,5.1,44,136.785,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.007307286,0.07443
1,173.9309048,2240,0.00054846,6,50,119.085,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.034191085,0.056947
1,173.9309048,2240,0.000067182,4.9,41,120.635,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.005489132,0.064992
1,173.9309048,2240,0.000066843,4.9,53,114.465,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.011120005,0.060897
1,173.9309048,2240,0.000040013,4.8,74,129.88,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.007464323,0.06036
1,173.9309048,2240,0.0000545,4.5,65,120.055,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.012057125,0.059423
1,173.9309048,2240,0.0001263,4.7,86,107.86,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.005658405,0.061652
